student_id,name,subject,slot,section_label,status
10101,학생1,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10101,학생1,정치,a,정치_a_1,assigned
10101,학생1,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10102,학생2,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10102,학생2,정치,b,정치_b_1,assigned
10102,학생2,융합과학 탐구,a,융합과학 탐구_a_1,assigned
10103,학생3,화학,c,화학_c_1,assigned
10103,학생3,기하,a,기하_a_1,assigned
10103,학생3,융합과학 탐구,b,융합과학 탐구_b_1,assigned
10104,학생4,정치,a,정치_a_1,assigned
10104,학생4,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10104,학생4,역사로 탐구하는 현대 세계,d,역사로 탐구하는 현대 세계_d_1,assigned
10105,학생5,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10105,학생5,정치,c,정치_c_1,assigned
10105,학생5,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10106,학생6,현대사회와 윤리,a,현대사회와 윤리_a_1,assigned
10106,학생6,정치,b,정치_b_2,assigned
10106,학생6,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10107,학생7,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10107,학생7,정치,a,정치_a_1,assigned
10107,학생7,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10108,학생8,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10108,학생8,정치,b,정치_b_1,assigned
10108,학생8,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10109,학생9,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10109,학생9,정치,b,정치_b_2,assigned
10109,학생9,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10110,학생10,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10110,학생10,세계시민과 지리,b,세계시민과 지리_b_1,assigned
10110,학생10,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10111,학생11,현대사회와 윤리,a,현대사회와 윤리_a_2,assigned
10111,학생11,정치,c,정치_c_1,assigned
10111,학생11,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_2,assigned
10112,학생12,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10112,학생12,정치,b,정치_b_1,assigned
10112,학생12,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10113,학생13,현대사회와 윤리,b,현대사회와 윤리_b_1,assigned
10113,학생13,정치,a,정치_a_1,assigned
10113,학생13,역사로 탐구하는 현대 세계,d,역사로 탐구하는 현대 세계_d_1,assigned
10114,학생14,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10114,학생14,화학,a,화학_a_1,assigned
10114,학생14,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10115,학생15,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10115,학생15,정치,b,정치_b_2,assigned
10115,학생15,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_2,assigned
10116,학생16,현대사회와 윤리,c,현대사회와 윤리_c_2,assigned
10116,학생16,정치,b,정치_b_1,assigned
10116,학생16,역사로 탐구하는 현대 세계,a,역사로 탐구하는 현대 세계_a_1,assigned
10117,학생17,현대사회와 윤리,a,현대사회와 윤리_a_1,assigned
10117,학생17,정치,b,정치_b_2,assigned
10117,학생17,역사로 탐구하는 현대 세계,c,역사로 탐구하는 현대 세계_c_1,assigned
10118,학생18,현대사회와 윤리,a,현대사회와 윤리_a_2,assigned
10118,학생18,정치,c,정치_c_1,assigned
10118,학생18,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10119,학생19,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10119,학생19,정치,d,정치_d_1,assigned
10119,학생19,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_2,assigned
10120,학생20,화학,a,화학_a_1,assigned
10120,학생20,역사로 탐구하는 현대 세계,b,역사로 탐구하는 현대 세계_b_1,assigned
10120,학생20,융합과학 탐구,c,융합과학 탐구_c_1,assigned
10121,학생21,현대사회와 윤리,d,현대사회와 윤리_d_2,assigned
10121,학생21,정치,a,정치_a_1,assigned
