student_id,name,subject,slot,section_label,status
10101,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10101,남궁연,생명과학,c,생명과학_c_1,assigned
10101,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10101,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10102,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10102,남궁연,생명과학,c,생명과학_c_1,assigned
10102,남궁연,미술 창작,a,미술 창작_a_1,assigned
10102,남궁연,화학,b,화학_b_1,assigned
10103,남궁연,생명과학,c,생명과학_c_1,assigned
10103,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10103,남궁연,화학,d,화학_d_1,assigned
10103,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10104,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10104,남궁연,법과 사회,b,법과 사회_b_1,assigned
10104,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10104,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10106,남궁연,일본어,d,일본어_d_1,assigned
10106,남궁연,법과 사회,b,법과 사회_b_1,assigned
10106,남궁연,생명과학,a,생명과학_a_1,assigned
10106,남궁연,세계사,c,세계사_c_1,assigned
10108,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10108,남궁연,세계사,c,세계사_c_1,assigned
10108,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10108,남궁연,중국어,b,중국어_b_1,assigned
10109,남궁연,미술 창작,a,미술 창작_a_1,assigned
10109,남궁연,화학,b,화학_b_1,assigned
10109,남궁연,물리학,d,물리학_d_1,assigned
10109,남궁연,지구과학,c,지구과학_c_1,assigned
10110,남궁연,세계사,c,세계사_c_1,assigned
10110,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10110,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10111,남궁연,미술 창작,,,unassigned
10111,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10111,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10111,남궁연,지구과학,c,지구과학_c_1,assigned
10112,남궁연,일본어,d,일본어_d_1,assigned
10112,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10112,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10112,남궁연,한문,c,한문_c_1,assigned
10113,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10113,남궁연,미술 창작,a,미술 창작_a_1,assigned
10113,남궁연,세계사,c,세계사_c_1,assigned
10113,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10114,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10114,남궁연,법과 사회,b,법과 사회_b_1,assigned
10114,남궁연,생명과학,c,생명과학_c_1,assigned
10114,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10115,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10115,남궁연,화학,,,unassigned
10115,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10115,남궁연,물리학,d,물리학_d_1,assigned
10116,남궁연,법과 사회,,,unassigned
10116,남궁연,생명과학,c,생명과학_c_1,assigned
10116,남궁연,화학,d,화학_d_1,assigned
10116,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10117,남궁연,일본어,d,일본어_d_1,assigned
10117,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10117,남궁연,중국어,b,중국어_b_1,assigned
10117,남궁연,한문,c,한문_c_1,assigned
10118,남궁연,생명과학,,,unassigned
10118,남궁연,미술 창작,a,미술 창작_a_1,assigned
10118,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10118,남궁연,지구과학,c,지구과학_c_1,assigned
10119,남궁연,일본어,d,일본어_d_1,assigned
10119,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10119,남궁연,미술 창작,a,미술 창작_a_1,assigned
10119,남궁연,세계사,c,세계사_c_1,assigned
10120,남궁연,일본어,d,일본어_d_1,assigned
10120,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10120,남궁연,미술 창작,a,미술 창작_a_1,assigned
10120,남궁연,세계사,c,세계사_c_1,assigned
10121,남궁연,일본어,d,일본어_d_1,assigned
10121,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10121,남궁연,미술 창작,c,미술 창작_c_1,assigned
10121,남궁연,중국어,b,중국어_b_1,assigned
10122,남궁연,일본어,d,일본어_d_1,assigned
10122,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10122,남궁연,세계사,c,세계사_c_1,assigned
10122,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10123,남궁연,일본어,d,일본어_d_1,assigned
10123,남궁연,법과 사회,b,법과 사회_b_1,assigned
10123,남궁연,미술 창작,a,미술 창작_a_1,assigned
10123,남궁연,세계사,c,세계사_c_1,assigned
10124,남궁연,일본어,a,일본어_a_1,assigned
10124,남궁연,법과 사회,d,법과 사회_d_1,assigned
10124,남궁연,미술 창작,c,미술 창작_c_1,assigned
10124,남궁연,화학,b,화학_b_1,assigned
10201,남궁연,법과 사회,d,법과 사회_d_1,assigned
10201,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10201,남궁연,세계사,c,세계사_c_1,assigned
10201,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10202,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10202,남궁연,세계사,c,세계사_c_1,assigned
10202,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10202,남궁연,중국어,b,중국어_b_1,assigned
10203,남궁연,일본어,d,일본어_d_1,assigned
10203,남궁연,미술 창작,c,미술 창작_c_1,assigned
10203,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10203,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10204,남궁연,법과 사회,d,법과 사회_d_1,assigned
10204,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10204,남궁연,세계사,,,unassigned
10204,남궁연,한문,c,한문_c_1,assigned
10205,남궁연,일본어,,,unassigned
10205,남궁연,미술 창작,a,미술 창작_a_1,assigned
10205,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10205,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10206,남궁연,법과 사회,b,법과 사회_b_1,assigned
10206,남궁연,세계사,,,unassigned
10206,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10206,남궁연,지구과학,c,지구과학_c_1,assigned
10207,남궁연,일본어,a,일본어_a_1,assigned
10207,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10207,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10207,남궁연,물리학,d,물리학_d_1,assigned
10208,남궁연,일본어,d,일본어_d_1,assigned
10208,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10208,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10208,남궁연,지구과학,c,지구과학_c_1,assigned
10209,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10209,남궁연,세계사,,,unassigned
10209,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10209,남궁연,지구과학,c,지구과학_c_1,assigned
10210,남궁연,일본어,a,일본어_a_1,assigned
10210,남궁연,법과 사회,d,법과 사회_d_1,assigned
10210,남궁연,미술 창작,c,미술 창작_c_1,assigned
10210,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10211,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10211,남궁연,화학,,,unassigned
10211,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10211,남궁연,물리학,d,물리학_d_1,assigned
10212,남궁연,세계시민과 지리,,,unassigned
10212,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10212,남궁연,물리학,d,물리학_d_1,assigned
10212,남궁연,지구과학,c,지구과학_c_1,assigned
10213,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10213,남궁연,법과 사회,d,법과 사회_d_1,assigned
10213,남궁연,세계사,c,세계사_c_1,assigned
10213,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10214,남궁연,일본어,a,일본어_a_1,assigned
10214,남궁연,법과 사회,b,법과 사회_b_1,assigned
10214,남궁연,생명과학,c,생명과학_c_1,assigned
10214,남궁연,물리학,d,물리학_d_1,assigned
10215,남궁연,세계사,,,unassigned
10215,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10215,남궁연,지구과학,c,지구과학_c_1,assigned
10215,남궁연,중국어,b,중국어_b_1,assigned
10216,남궁연,일본어,,,unassigned
10216,남궁연,생명과학,c,생명과학_c_1,assigned
10216,남궁연,미술 창작,a,미술 창작_a_1,assigned
10216,남궁연,물리학,d,물리학_d_1,assigned
10217,남궁연,미술 창작,c,미술 창작_c_1,assigned
10217,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10217,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10217,남궁연,물리학,d,물리학_d_1,assigned
10218,남궁연,생명과학,,,unassigned
10218,남궁연,미술 창작,c,미술 창작_c_1,assigned
10218,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10218,남궁연,화학,d,화학_d_1,assigned
10219,남궁연,일본어,d,일본어_d_1,assigned
10219,남궁연,미술 창작,a,미술 창작_a_1,assigned
10219,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10219,남궁연,지구과학,c,지구과학_c_1,assigned
10220,남궁연,생명과학,c,생명과학_c_1,assigned
10220,남궁연,미술 창작,a,미술 창작_a_1,assigned
10220,남궁연,화학,b,화학_b_1,assigned
10220,남궁연,물리학,d,물리학_d_1,assigned
10221,남궁연,법과 사회,d,법과 사회_d_1,assigned
10221,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10221,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10221,남궁연,한문,c,한문_c_1,assigned
10222,남궁연,생명과학,,,unassigned
10222,남궁연,미술 창작,a,미술 창작_a_1,assigned
10222,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10222,남궁연,화학,d,화학_d_1,assigned
10223,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10223,남궁연,생명과학,c,생명과학_c_1,assigned
10223,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10223,남궁연,중국어,b,중국어_b_1,assigned
10301,남궁연,일본어,d,일본어_d_1,assigned
10301,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10301,남궁연,법과 사회,b,법과 사회_b_1,assigned
10301,남궁연,생명과학,c,생명과학_c_1,assigned
10302,남궁연,법과 사회,d,법과 사회_d_1,assigned
10302,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10302,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10302,남궁연,한문,c,한문_c_1,assigned
10303,남궁연,세계사,c,세계사_c_1,assigned
10303,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10303,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10303,남궁연,중국어,b,중국어_b_1,assigned
10304,남궁연,일본어,d,일본어_d_1,assigned
10304,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10304,남궁연,법과 사회,b,법과 사회_b_1,assigned
10304,남궁연,미술 창작,c,미술 창작_c_1,assigned
10305,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10305,남궁연,세계사,c,세계사_c_1,assigned
10305,남궁연,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10305,남궁연,중국어,b,중국어_b_1,assigned
10306,남궁연,일본어,d,일본어_d_1,assigned
10306,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10306,남궁연,미술 창작,c,미술 창작_c_1,assigned
10306,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10307,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10307,남궁연,세계사,,,unassigned
10307,남궁연,지구과학,c,지구과학_c_1,assigned
10307,남궁연,중국어,b,중국어_b_1,assigned
10308,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10308,남궁연,법과 사회,d,법과 사회_d_1,assigned
10308,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10308,남궁연,중국어,b,중국어_b_1,assigned
10309,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10309,남궁연,법과 사회,b,법과 사회_b_1,assigned
10309,남궁연,세계사,c,세계사_c_1,assigned
10309,남궁연,세계시민과 지리,d,세계시민과 지리_d_1,assigned
10310,남궁연,일본어,d,일본어_d_1,assigned
10310,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10310,남궁연,미술 창작,a,미술 창작_a_1,assigned
10310,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10311,남궁연,일본어,d,일본어_d_1,assigned
10311,남궁연,생명과학,a,생명과학_a_1,assigned
10311,남궁연,미술 창작,c,미술 창작_c_1,assigned
10311,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10312,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10312,남궁연,미술 창작,c,미술 창작_c_1,assigned
10312,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10312,남궁연,물리학,d,물리학_d_1,assigned
10313,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10313,남궁연,미술 창작,,,unassigned
10313,남궁연,인문학과 윤리,a,인문학과 윤리_a_1,assigned
10313,남궁연,지구과학,c,지구과학_c_1,assigned
10314,남궁연,일본어,a,일본어_a_1,assigned
10314,남궁연,주제 탐구 독서,d,주제 탐구 독서_d_1,assigned
10314,남궁연,법과 사회,b,법과 사회_b_1,assigned
10314,남궁연,생명과학,c,생명과학_c_1,assigned
10315,남궁연,일본어,d,일본어_d_1,assigned
10315,남궁연,생명과학,c,생명과학_c_1,assigned
10315,남궁연,미술 창작,a,미술 창작_a_1,assigned
10315,남궁연,세계 문화와 영어,b,세계 문화와 영어_b_1,assigned
10316,남궁연,일본어,d,일본어_d_1,assigned
10316,남궁연,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10316,남궁연,법과 사회,b,법과 사회_b_1,assigned
10316,남궁연,생명과학,c,생명과학_c_1,assigned
10317,남궁연,미술 창작,c,미술 창작_c_1,assigned
10317,남궁연,화학,,,unassigned
10317,남궁연,인공지능 수학,b,인공지능 수학_b_1,assigned
10317,남궁연,물리학,d,물리학_d_1,assigned
10318,남궁연,일본어,a,일본어_a_1,assigned
10318,남궁연,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10318,남궁연,법과 사회,d,법과 사회_d_1,assigned
10318,남궁연,생명과학,c,생명과학_c_1,assigned
10319,남궁연,생명과학,a,생명과학_a_1,assigned
10319,남궁연,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10319,남궁연,화학,d,화학_d_1,assigned
10319,남궁연,중국어,b,중국어_b_1,assigned
10320,남궁연,일본어,a,일본어_a_1,assigned
