student_id,name,subject,slot,section_label,status
20101,20101,확률과 통계,e,확률과 통계_e_1,assigned
20101,20101,정치와 법,h,정치와 법_h_1,assigned
20101,20101,언어와 매체,g,언어와 매체_g_1,assigned
20101,20101,윤리와 사상,f,윤리와 사상_f_1,assigned
20101,20101,화법과 작문,b,화법과 작문_b_1,assigned
20101,20101,동아시아사,d,동아시아사_d_1,assigned
20101,20101,영어회화,a,영어회화_a_1,assigned
20101,20101,생명과학Ⅱ,c,생명과학Ⅱ_c_1,assigned
20102,20102,확률과 통계,g,확률과 통계_g_1,assigned
20102,20102,한국지리,e,한국지리_e_1,assigned
20102,20102,언어와 매체,b,언어와 매체_b_1,assigned
20102,20102,윤리와 사상,f,윤리와 사상_f_1,assigned
20102,20102,화법과 작문,a,화법과 작문_a_1,assigned
20102,20102,영어회화,d,영어회화_d_1,assigned
20102,20102,생명과학Ⅱ,c,생명과학Ⅱ_c_1,assigned
20102,20102,화학Ⅱ,h,화학Ⅱ_h_1,assigned
20103,20103,확률과 통계,c,확률과 통계_c_1,assigned
20103,20103,정치와 법,h,정치와 법_h_1,assigned
20103,20103,한국지리,e,한국지리_e_1,assigned
20103,20103,언어와 매체,g,언어와 매체_g_1,assigned
20103,20103,윤리와 사상,f,윤리와 사상_f_1,assigned
20103,20103,동아시아사,d,동아시아사_d_1,assigned
20103,20103,영어독해와 작문,b,영어독해와 작문_b_1,assigned
20103,20103,지구과학Ⅱ,a,지구과학Ⅱ_a_1,assigned
20104,20104,확률과 통계,g,확률과 통계_g_1,assigned
20104,20104,정치와 법,h,정치와 법_h_1,assigned
20104,20104,한국지리,f,한국지리_f_1,assigned
20104,20104,화법과 작문,e,화법과 작문_e_1,assigned
20104,20104,동아시아사,a,동아시아사_a_1,assigned
20104,20104,영어회화,d,영어회화_d_1,assigned
20104,20104,영어독해와 작문,c,영어독해와 작문_c_1,assigned
20104,20104,생명과학Ⅱ,b,생명과학Ⅱ_b_1,assigned
20105,20105,확률과 통계,e,확률과 통계_e_1,assigned
20105,20105,정치와 법,d,정치와 법_d_1,assigned
20105,20105,언어와 매체,b,언어와 매체_b_1,assigned
20105,20105,윤리와 사상,f,윤리와 사상_f_1,assigned
20105,20105,동아시아사,c,동아시아사_c_1,assigned
20105,20105,영어회화,a,영어회화_a_1,assigned
20105,20105,화학Ⅱ,h,화학Ⅱ_h_1,assigned
20105,20105,물리학Ⅱ,g,물리학Ⅱ_g_1,assigned
20106,20106,확률과 통계,g,확률과 통계_g_1,assigned
20106,20106,정치와 법,d,정치와 법_d_1,assigned
20106,20106,한국지리,h,한국지리_h_1,assigned
20106,20106,언어와 매체,f,언어와 매체_f_1,assigned
20106,20106,윤리와 사상,e,윤리와 사상_e_1,assigned
20106,20106,화법과 작문,a,화법과 작문_a_1,assigned
20106,20106,영어회화,b,영어회화_b_1,assigned
20106,20106,생명과학Ⅱ,c,생명과학Ⅱ_c_1,assigned
20107,20107,확률과 통계,e,확률과 통계_e_1,assigned
20107,20107,정치와 법,d,정치와 법_d_1,assigned
20107,20107,한국지리,h,한국지리_h_1,assigned
20107,20107,언어와 매체,g,언어와 매체_g_1,assigned
20107,20107,윤리와 사상,f,윤리와 사상_f_1,assigned
20107,20107,화법과 작문,b,화법과 작문_b_1,assigned
20107,20107,동아시아사,c,동아시아사_c_1,assigned
20107,20107,지구과학Ⅱ,a,지구과학Ⅱ_a_1,assigned
20108,20108,확률과 통계,e,확률과 통계_e_1,assigned
20108,20108,정치와 법,h,정치와 법_h_1,assigned
20108,20108,언어와 매체,f,언어와 매체_f_1,assigned
20108,20108,영어회화,d,영어회화_d_1,assigned
20108,20108,지구과학Ⅱ,c,지구과학Ⅱ_c_1,assigned
20108,20108,생명과학Ⅱ,b,생명과학Ⅱ_b_1,assigned
20108,20108,미적분,a,미적분_a_1,assigned
20108,20108,물리학Ⅱ,g,물리학Ⅱ_g_1,assigned
20109,20109,확률과 통계,c,확률과 통계_c_1,assigned
20109,20109,정치와 법,h,정치와 법_h_1,assigned
20109,20109,한국지리,e,한국지리_e_1,assigned
20109,20109,언어와 매체,g,언어와 매체_g_1,assigned
20109,20109,화법과 작문,a,화법과 작문_a_1,assigned
20109,20109,동아시아사,d,동아시아사_d_1,assigned
20109,20109,영어독해와 작문,f,영어독해와 작문_f_1,assigned
20109,20109,생명과학Ⅱ,b,생명과학Ⅱ_b_1,assigned
20110,20110,확률과 통계,h,확률과 통계_h_1,assigned
20110,20110,정치와 법,f,정치와 법_f_1,assigned
20110,20110,언어와 매체,g,언어와 매체_g_1,assigned
20110,20110,윤리와 사상,e,윤리와 사상_e_1,assigned
20110,20110,화법과 작문,a,화법과 작문_a_1,assigned
20110,20110,동아시아사,d,동아시아사_d_1,assigned
20110,20110,영어회화,b,영어회화_b_1,assigned
20110,20110,지구과학Ⅱ,c,지구과학Ⅱ_c_1,assigned
20111,20111,정치와 법,g,정치와 법_g_1,assigned
20111,20111,한국지리,f,한국지리_f_1,assigned
20111,20111,화법과 작문,e,화법과 작문_e_1,assigned
20111,20111,동아시아사,c,동아시아사_c_1,assigned
20111,20111,영어회화,d,영어회화_d_1,assigned
20111,20111,지구과학Ⅱ,h,지구과학Ⅱ_h_1,assigned
20111,20111,생명과학Ⅱ,b,생명과학Ⅱ_b_1,assigned
20111,20111,미적분,a,미적분_a_1,assigned
20114,20114,확률과 통계,h,확률과 통계_h_1,assigned
20114,20114,정치와 법,d,정치와 법_d_1,assigned
20114,20114,한국지리,g,한국지리_g_1,assigned
20114,20114,언어와 매체,f,언어와 매체_f_1,assigned
20114,20114,윤리와 사상,e,윤리와 사상_e_1,assigned
20114,20114,화법과 작문,a,화법과 작문_a_1,assigned
20114,20114,영어회화,b,영어회화_b_1,assigned
20114,20114,생명과학Ⅱ,c,생명과학Ⅱ_c_1,assigned
20115,20115,확률과 통계,g,확률과 통계_g_1,assigned
20115,20115,정치와 법,d,정치와 법_d_1,assigned
20115,20115,한국지리,e,한국지리_e_1,assigned
20115,20115,언어와 매체,b,언어와 매체_b_1,assigned
20115,20115,윤리와 사상,f,윤리와 사상_f_1,assigned
20115,20115,동아시아사,c,동아시아사_c_1,assigned
